time,cm
20, 13.2741
40, 13.2741
60, 13.2741
80, 13.2912
100, 13.7371
120, 13.3255
140, 13.3255
160, 13.3255
180, 13.3255
200, 13.3255
220, 13.3427
240, 13.3255
260, 13.3255
280, 13.3255
300, 13.3255
320, 13.3770
340, 13.3770
360, 13.3770
380, 13.3941
400, 13.3770
420, 13.3770
440, 13.3770
460, 13.3770
480, 13.3770
500, 13.3770
520, 13.3770
540, 13.3770
560, 13.3770
580, 13.3770
600, 13.3770
620, 13.3770
640, 13.3770
660, 13.3770
680, 13.3770
700, 13.3770
720, 13.4284
740, 13.4284
760, 13.4284
780, 13.4284
800, 13.4284
820, 13.4284
840, 13.4284
860, 13.4284
880, 13.4284
900, 13.4284
920, 13.4284
940, 13.4284
960, 13.4284
980, 13.4284
1000, 13.4456
1020, 13.4456
1040, 13.4284
1060, 13.8400
1080, 13.8400
1100, 13.8400
1120, 13.3770
1140, 13.3770
1160, 13.3941
1180, 13.3770
1200, 13.3941
1220, 13.3770
1240, 13.3770
1260, 13.3770
1280, 13.3770
1300, 13.3770
1320, 13.3770
1340, 13.3770
1360, 13.3770
1380, 13.3941
1400, 13.3770
1420, 13.3770
1440, 13.3941
1460, 13.3770
1480, 13.3770
1500, 13.3770
1520, 13.3770
1540, 13.3770
1560, 13.3770
1580, 13.3770
1600, 13.3770
1620, 13.8400
1640, 13.4284
1660, 13.4284
1680, 13.4284
1700, 13.4284
1720, 13.4284
1740, 13.4284
1760, 13.4284
1780, 13.8400
1800, 13.3770
1820, 13.3770
1840, 13.3770
1860, 13.3770
1880, 13.3770
1900, 13.3941
1920, 13.3255
1940, 13.3255
1960, 13.7371
1980, 13.2741
2000, 13.2912
2020, 13.2912
2040, 13.2741
2060, 13.2741
2080, 13.2741
2100, 13.2741
2120, 13.2741
2140, 13.2741
2160, 13.2741
2180, 13.2226
2200, 13.2226
2220, 13.2226
2240, 13.2226
2260, 13.2398
2280, 13.2398
2300, 13.2226
2320, 13.2398
2340, 13.2226
2360, 13.2226
2380, 13.2226
2400, 13.2226
2420, 13.2398
2440, 13.2226
2460, 13.2226
2480, 13.2398
2500, 13.2226
2520, 13.2226
2540, 13.2226
2560, 13.2226
2580, 13.2398
2600, 13.2398
2620, 13.2226
2640, 13.2398
2660, 13.2226
2680, 13.1883
2700, 13.1883
2720, 13.0854
2740, 13.0168
2760, 12.9311
2780, 12.8282
2800, 12.6738
2820, 12.5709
2840, 12.4166
2860, 12.2622
2880, 12.1593
2900, 11.6105
2920, 11.9535
2940, 11.8506
2960, 11.7649
2980, 11.6448
3000, 11.5419
3020, 11.4047
3040, 11.3018
3060, 11.1475
3080, 10.9931
3100, 10.8388
3120, 10.6844
3140, 10.5301
3160, 9.9641
3180, 10.2900
3200, 9.6726
3220, 9.5182
3240, 9.7755
3260, 9.2610
3280, 9.3639
3300, 9.2095
3320, 8.5578
3340, 8.3520
3360, 8.6093
3380, 7.9404
3400, 7.7346
3420, 7.5803
3440, 7.8890
3460, 7.2887
3480, 7.5974
3500, 7.5460
3520, 7.4260
3540, 7.3916
3560, 7.2373
3580, 7.0830
3600, 6.9286
3620, 6.7743
3640, 6.6199
3660, 6.5170
3680, 6.3626
3700, 6.2769
3720, 6.1226
3740, 5.9510
3760, 5.8653
3780, 5.2993
3800, 5.1964
3820, 5.5051
3840, 5.4022
3860, 5.2479
3880, 5.0935
3900, 4.5276
3920, 4.9049
3940, 4.7334
3960, 4.1332
3980, 4.0303
4000, 4.3904
4020, 4.2875
4040, 3.7216
4060, 3.7216
4080, 3.6701
4100, 3.6187
4120, 4.0817
4140, 3.6187
4160, 3.6187
4180, 4.1160
4200, 3.6701
4220, 4.2361
4240, 3.8759
4260, 4.0303
4280, 4.1332
4300, 4.7849
4320, 4.4762
4340, 5.1964
4360, 4.8878
4380, 5.5394
4400, 5.8138
4420, 6.0025
4440, 5.7624
4460, 6.4141
4480, 6.6199
4500, 6.9286
4520, 7.2202
4540, 7.5289
4560, 7.8375
4580, 8.1977
4600, 8.5578
4620, 8.8665
4640, 9.2095
4660, 9.3639
4680, 9.6726
4700, 9.5182
4720, 10.2900
4740, 10.5301
4760, 10.7873
4780, 11.0446
4800, 11.2504
4820, 11.4905
4840, 11.6963
4860, 11.5076
4880, 12.1593
4900, 12.3651
4920, 12.5709
4940, 12.7767
4960, 12.9654
4980, 13.1712
5000, 13.7886
5020, 13.5313
5040, 14.0973
5060, 14.2516
5080, 13.9429
5100, 14.0458
5120, 14.0973
5140, 14.2002
5160, 14.7147
5180, 14.3545
5200, 14.4060
5220, 14.4574
5240, 14.5603
5260, 14.6118
5280, 14.6461
5300, 14.7147
5320, 15.1606
5340, 14.7661
5360, 14.8004
5380, 14.8004
5400, 15.2635
5420, 15.2635
5440, 15.2635
5460, 14.8004
5480, 14.8004
5500, 14.8176
5520, 15.2120
5540, 14.7490
5560, 14.6975
5580, 15.1091
5600, 14.6461
5620, 15.0062
5640, 14.9548
5660, 14.4574
5680, 14.4060
5700, 14.3374
5720, 14.2516
5740, 14.6118
5760, 14.0973
5780, 13.9429
5800, 13.7886
5820, 13.5828
5840, 13.4284
5860, 13.2741
5880, 13.0168
5900, 12.8110
5920, 12.5709
5940, 12.4166
5960, 12.2622
5980, 12.0564
6000, 11.9021
6020, 11.6963
6040, 11.5419
6060, 11.3361
6080, 11.1475
6100, 10.8902
6120, 10.6844
6140, 10.4786
6160, 10.3414
6180, 10.1699
6200, 9.5182
6220, 9.3296
6240, 9.4668
6260, 8.9008
6280, 9.1752
6300, 8.9523
6320, 8.7636
6340, 8.0948
6360, 8.3520
6380, 8.1977
6400, 8.0433
6420, 7.8375
6440, 7.6318
6460, 7.4260
6480, 7.2373
6500, 7.0830
6520, 6.8772
6540, 6.6714
6560, 6.4656
6580, 6.2769
6600, 6.0539
6620, 5.9168
6640, 5.2993
6660, 5.1964
6680, 5.5566
6700, 5.4022
6720, 5.1964
6740, 4.5962
6760, 4.4418
6780, 4.6991
6800, 4.5791
6820, 3.9788
6840, 4.3390
6860, 4.2361
6880, 3.6701
6900, 3.6187
6920, 4.0817
6940, 3.5672
6960, 4.0303
6980, 4.0303
7000, 3.5672
7020, 3.5672
7040, 4.0817
7060, 3.6187
7080, 3.6187
7100, 3.6701
7120, 3.6701
7140, 3.7216
7160, 4.2704
7180, 4.3390
7200, 4.3733
7220, 4.4418
7240, 4.4762
7260, 4.0303
7280, 4.0817
7300, 4.1332
7320, 4.1846
7340, 4.7334
7360, 4.8363
7380, 4.4762
7400, 5.0935
7420, 5.3508
7440, 5.5566
7460, 5.3508
7480, 6.0711
7500, 6.3112
7520, 6.5685
7540, 6.8257
7560, 7.0830
7580, 7.3916
7600, 7.6832
7620, 8.0433
7640, 8.4035
7660, 8.7465
7680, 9.0723
7700, 9.3124
7720, 9.4668
7740, 9.7240
7760, 9.9641
7780, 10.2214
7800, 10.4272
7820, 10.6330
7840, 10.7873
7860, 10.9417
7880, 11.1475
7900, 11.2332
7920, 11.3533
7940, 11.4562
7960, 11.5591
7980, 11.6620
8000, 11.7649
8020, 11.9021
8040, 12.0050
8060, 12.1593
8080, 12.2622
8100, 12.4166
8120, 12.5195
8140, 12.6738
8160, 12.7767
8180, 12.9139
8200, 13.0683
8220, 13.2226
8240, 13.3770
8260, 13.5313
8280, 13.7371
8300, 14.3374
8320, 14.0973
8340, 14.2345
8360, 14.3888
8380, 15.0062
8400, 15.1606
8420, 15.3149
8440, 15.4693
8460, 15.5722
8480, 15.6751
8500, 15.7780
8520, 15.8123
8540, 16.2754
8560, 15.8637
8580, 15.9152
8600, 15.9323
8620, 15.9323
8640, 15.9152
8660, 15.9152
8680, 15.8809
8700, 15.4178
8720, 15.3664
8740, 15.7265
8760, 15.6751
8780, 15.6236
8800, 15.1606
8820, 15.1091
8840, 15.4693
8860, 14.9548
8880, 15.3149
8900, 14.8004
8920, 15.1606
8940, 14.6461
8960, 15.0062
8980, 14.8690
9000, 14.2345
9020, 14.4403
9040, 13.7886
9060, 13.5828
9080, 13.3255
9100, 13.1197
9120, 12.8796
9140, 12.6738
9160, 12.4166
9180, 12.2622
9200, 12.0564
9220, 11.8506
9240, 11.1989
9260, 11.4562
9280, 10.7873
9300, 11.0446
9320, 10.8388
9340, 10.6844
9360, 10.5301
9380, 10.4272
9400, 10.3414
9420, 10.2214
9440, 10.1185
9460, 10.0156
9480, 9.4668
9500, 9.7755
9520, 9.3124
9540, 9.5182
9560, 9.4153
9580, 8.9180
9600, 8.7636
9620, 9.0723
9640, 8.9008
9660, 8.7122
9680, 8.0433
9700, 8.2491
9720, 7.5974
9740, 7.3745
9760, 7.1858
9780, 7.4260
9800, 6.8257
9820, 7.0830
9840, 6.8772
9860, 6.6714
9880, 6.4656
9900, 6.2769
9920, 6.1226
9940, 5.9510
9960, 5.8653
9980, 5.2479
10000, 5.5909
10020, 5.5051
10040, 5.4022
10060, 4.8363
10080, 4.8020
10100, 5.1964
10120, 5.1450
10140, 5.1450
10160, 5.1450
10180, 5.1964
10200, 4.7849
10220, 4.8878
10240, 5.5051
10260, 5.2479
10280, 5.8996
10300, 5.7109
10320, 6.4141
10340, 6.7228
10360, 6.9629
10380, 7.2887
10400, 7.4945
10420, 7.6832
10440, 7.8547
10460, 7.9404
10480, 7.9404
10500, 7.9404
10520, 7.8890
10540, 7.8375
10560, 7.7346
10580, 7.5289
10600, 6.9286
10620, 7.1344
10640, 6.9286
10660, 6.1740
10680, 6.4141
10700, 5.7109
10720, 5.9682
10740, 5.7624
10760, 5.5566
10780, 5.4537
10800, 5.4022
10820, 4.8878
10840, 4.8878
10860, 4.8878
10880, 4.8878
10900, 4.8878
10920, 4.9392
10940, 5.4537
10960, 5.5051
10980, 5.5051
11000, 5.5566
11020, 5.5566
11040, 5.5909
11060, 5.6080
11080, 5.6595
11100, 5.6595
11120, 5.6595
11140, 5.1964
11160, 5.6595
11180, 5.6423
11200, 5.6595
11220, 5.1964
11240, 5.1964
11260, 5.6938
11280, 5.7624
11300, 5.3508
11320, 5.4022
11340, 6.0197
11360, 5.7109
11380, 6.3284
11400, 6.1226
11420, 6.8257
11440, 7.1344
11460, 7.0315
11480, 7.3745
11500, 7.7346
11520, 8.0948
11540, 8.4549
11560, 8.8665
11580, 9.5697
11600, 9.9813
11620, 10.3757
11640, 10.7873
11660, 11.5591
11680, 11.8506
11700, 12.0564
11720, 12.2622
11740, 12.8625
11760, 13.0340
11780, 13.1883
11800, 13.3427
11820, 13.4799
11840, 13.6342
11860, 13.8400
11880, 13.9944
11900, 14.1487
11920, 14.6975
11940, 14.8004
11960, 14.4403
11980, 14.9548
12000, 15.0062
12020, 15.0062
12040, 15.0062
12060, 14.5946
12080, 15.4693
12100, 15.4693
12120, 14.6118
12140, 15.0062
12160, 15.0062
12180, 15.0062
12200, 15.0062
12220, 14.5946
12240, 15.0577
12260, 15.0577
12280, 14.6461
12300, 14.6461
12320, 14.6461
12340, 15.1091
12360, 15.1091
12380, 15.1091
12400, 15.1091
12420, 14.6975
12440, 15.1606
12460, 14.7490
12480, 15.1606
12500, 14.7147
12520, 14.6461
12540, 14.5946
12560, 14.9548
12580, 14.4403
12600, 14.3888
12620, 14.3031
12640, 14.2345
12660, 14.1487
12680, 13.6342
12700, 13.5313
12720, 13.8400
12740, 13.2912
12760, 13.1197
12780, 13.3770
12800, 13.1712
12820, 12.0564
12840, 11.7992
12860, 11.5591
12880, 11.2332
12900, 10.9931
12920, 11.0960
12940, 10.3243
12960, 9.9641
12980, 9.6726
13000, 9.3124
13020, 9.0552
13040, 8.7636
13060, 8.4035
13080, 8.0948
13100, 7.7861
13120, 7.0315
13140, 7.2373
13160, 6.5170
13180, 6.2597
13200, 6.0711
13220, 5.8481
13240, 5.7109
13260, 5.9510
13280, 5.3508
13300, 5.1964
13320, 5.5394
13340, 5.4537
13360, 4.9392
13380, 5.4022
13400, 4.8878
13420, 4.8878
13440, 5.3508
13460, 4.8534
13480, 4.8363
13500, 4.8363
13520, 4.8363
13540, 5.3508
13560, 5.3508
13580, 4.8878
13600, 5.4022
13620, 4.9392
13640, 5.4537
13660, 4.9906
13680, 5.5051
13700, 5.6080
13720, 5.7624
13740, 5.4022
13760, 6.0711
13780, 5.7624
13800, 6.4656
13820, 6.6714
13840, 6.4656
13860, 7.1858
13880, 7.4431
13900, 7.7518
13920, 7.9919
13940, 8.7636
13960, 8.5578
13980, 8.8494
14000, 9.1752
14020, 9.8269
14040, 10.1356
14060, 10.0327
14080, 10.3414
14100, 10.6330
14120, 10.8902
14140, 11.1475
14160, 11.7992
14180, 11.6105
14200, 12.3137
14220, 12.5195
14240, 13.1883
