frame,pixel
638, -678
639, -677
640, -678
641, -679
642, -675
643, -670
644, -661
645, -648
646, -632
647, -609
648, -588
649, -558
650, -521
651, -488
652, -451
653, -416
654, -375
655, -338
656, -306
657, -273
658, -242
659, -216
660, -190
661, -168
662, -154
663, -152
664, -153
665, -149
666, -151
667, -152
668, -152
669, -151
670, -152
671, -158
672, -173
673, -190
674, -199
675, -209
676, -216
677, -227
678, -244
679, -274
680, -310
681, -344
682, -375
683, -408
684, -443
685, -466
686, -482
687, -507
688, -534
689, -559
690, -575
691, -594
692, -615
693, -637
694, -656
695, -665
696, -674
697, -685
698, -694
699, -700
700, -704
701, -711
702, -715
703, -721
704, -723
705, -725
706, -728
707, -730
708, -732
709, -730
710, -725
711, -720
712, -715
713, -706
714, -691
715, -673
716, -649
717, -619
718, -593
719, -561
720, -528
721, -494
722, -463
723, -438
724, -408
725, -383
726, -359
727, -343
728, -328
729, -319
730, -311
731, -306
732, -305
733, -300
734, -303
735, -302
736, -305
737, -309
738, -315
739, -321
740, -326
741, -335
742, -344
743, -357
744, -377
745, -402
746, -430
747, -459
748, -494
749, -533
750, -571
751, -607
752, -645
753, -672
754, -693
755, -711
756, -721
757, -726
758, -724
759, -724
760, -722
761, -720
762, -715
763, -711
764, -707
765, -701
766, -695
767, -694
768, -689
769, -684
770, -683
771, -674
772, -668
773, -663
774, -659
775, -652
776, -645
777, -642
778, -636
779, -634
780, -631
781, -629
782, -625
