time,cm
20, 9.9813
40, 9.9813
60, 10.3929
80, 9.9298
100, 9.8784
120, 10.2900
140, 10.2728
160, 9.8269
180, 9.8269
200, 9.8269
220, 9.8269
240, 9.8269
260, 9.8269
280, 9.8269
300, 9.8269
320, 9.8269
340, 9.8098
360, 10.2385
380, 10.2214
400, 9.8269
420, 9.8269
440, 9.8269
460, 9.8269
480, 10.2214
500, 10.2214
520, 10.2214
540, 10.2385
560, 10.2214
580, 9.7755
600, 10.1699
620, 10.1699
640, 9.7240
660, 10.1185
680, 10.1356
700, 9.6726
720, 9.6726
740, 10.0842
760, 9.6211
780, 9.6211
800, 9.5697
820, 9.5697
840, 9.5182
860, 9.5182
880, 9.4668
900, 9.8784
920, 9.4153
940, 9.8269
960, 9.7755
980, 9.7240
1000, 9.3467
1020, 9.3467
1040, 9.7240
1060, 9.7755
1080, 9.8784
1100, 9.5697
1120, 10.1185
1140, 10.3243
1160, 10.0842
1180, 10.3243
1200, 10.9931
1220, 10.7873
1240, 11.4562
1260, 11.6963
1280, 11.4905
1300, 12.6224
1320, 12.4680
1340, 12.3137
1360, 13.0168
1380, 13.3255
1400, 13.6342
1420, 14.4060
1440, 14.3031
1460, 14.6632
1480, 15.0062
1500, 15.3149
1520, 16.1381
1540, 16.0352
1560, 16.7898
1580, 16.6870
1600, 16.9956
1620, 17.2529
1640, 17.5101
1660, 17.6988
1680, 18.3162
1700, 18.4706
1720, 18.5734
1740, 18.2133
1760, 18.6763
1780, 18.6763
1800, 18.2133
1820, 18.5734
1840, 18.4706
1860, 18.3676
1880, 17.8188
1900, 18.5220
1920, 17.9560
1940, 17.8188
1960, 17.2529
1980, 17.5444
2000, 17.4587
2020, 16.8927
2040, 16.7898
2060, 17.1500
2080, 16.6526
2100, 16.9956
2120, 16.9442
2140, 16.4468
2160, 16.3782
2180, 16.7384
2200, 16.2239
2220, 16.1210
2240, 16.0352
2260, 15.9323
2280, 16.2410
2300, 15.6236
2320, 15.4178
2340, 15.2292
2360, 15.0062
2380, 15.2292
2400, 14.5603
2420, 14.7490
2440, 14.0973
2460, 13.8400
2480, 13.5999
2500, 13.3255
2520, 13.0854
2540, 13.2398
2560, 12.9825
2580, 12.2622
2600, 12.0050
2620, 11.7477
2640, 11.4905
2660, 10.8388
2680, 11.0446
2700, 10.7873
2720, 10.0842
2740, 9.8784
2760, 9.6211
2780, 9.8269
2800, 9.6211
2820, 9.4153
2840, 9.3467
2860, 8.7122
2880, 8.5064
2900, 8.3520
2920, 8.1462
2940, 8.4549
2960, 7.8032
2980, 7.5974
3000, 7.8890
3020, 7.2373
3040, 7.0830
3060, 6.9286
3080, 6.7743
3100, 6.6199
3120, 6.5170
3140, 6.3626
3160, 6.2769
3180, 5.6938
3200, 6.0539
3220, 5.9168
3240, 5.8653
3260, 5.7624
3280, 5.6595
3300, 5.5566
3320, 5.4537
3340, 5.4022
3360, 4.8534
3380, 5.1964
3400, 5.1450
3420, 5.5566
3440, 5.0421
3460, 4.5276
3480, 4.5276
3500, 4.5447
3520, 5.5051
3540, 5.0421
3560, 5.0935
3580, 5.1964
3600, 5.3508
3620, 5.4537
3640, 5.6080
3660, 5.3508
3680, 6.0025
3700, 6.2769
3720, 6.5170
3740, 6.7743
3760, 7.0315
3780, 7.3402
3800, 7.6318
3820, 8.4035
3840, 8.7122
3860, 8.5578
3880, 8.8665
3900, 9.1752
3920, 9.7755
3940, 9.6211
3960, 10.3243
3980, 10.5815
4000, 10.8388
4020, 11.0960
4040, 11.3533
4060, 11.5591
4080, 11.7992
4100, 12.4680
4120, 12.7253
4140, 12.5195
4160, 13.1712
4180, 12.9825
4200, 13.1883
4220, 13.3770
4240, 13.5828
4260, 13.7886
4280, 13.9429
4300, 14.0973
4320, 14.2516
4340, 13.9429
4360, 14.4574
4380, 14.5603
4400, 15.0577
4420, 14.6975
4440, 14.7661
4460, 14.8176
4480, 14.8690
4500, 15.3149
4520, 14.9205
4540, 14.9205
4560, 14.4574
4580, 14.8519
4600, 14.3545
4620, 14.7661
4640, 14.2516
4660, 14.6461
4680, 14.5603
4700, 14.4917
4720, 13.9944
4740, 14.3545
4760, 14.2516
4780, 13.7028
4800, 13.5828
4820, 13.4284
4840, 13.6857
4860, 13.0854
4880, 13.2741
4900, 13.0854
4920, 12.8282
4940, 12.9825
4960, 12.3137
4980, 12.0050
5000, 12.1593
5020, 11.4562
5040, 10.7359
5060, 10.8902
5080, 10.2385
5100, 9.9641
5120, 9.7755
5140, 9.5697
5160, 9.3639
5180, 9.6211
5200, 9.1238
5220, 8.9694
5240, 8.7636
5260, 9.0037
5280, 8.3520
5300, 8.5578
5320, 7.8890
5340, 8.1462
5360, 7.9061
5380, 7.1858
5400, 6.9286
5420, 6.6714
5440, 6.4656
5460, 6.2597
5480, 6.1226
5500, 5.8996
5520, 5.7452
5540, 5.5566
5560, 4.9563
5580, 5.2993
5600, 5.1450
5620, 5.0421
5640, 4.9392
5660, 4.8020
5680, 4.6991
5700, 4.5962
5720, 4.5276
5740, 4.4418
5760, 4.3904
5780, 4.2875
5800, 4.2361
5820, 4.2361
5840, 3.7216
5860, 4.1846
5880, 3.6701
5900, 4.1332
5920, 3.6187
5940, 3.6187
5960, 4.1332
5980, 3.6701
6000, 4.2361
6020, 4.2875
6040, 4.4247
6060, 4.0817
6080, 4.6991
6100, 4.4418
6120, 5.0935
6140, 5.3508
6160, 5.5566
6180, 5.3508
6200, 6.0711
6220, 6.3112
6240, 6.6199
6260, 6.9286
6280, 7.2373
6300, 7.5460
6320, 7.8375
6340, 8.6607
6360, 8.5064
6380, 8.7979
6400, 9.0723
6420, 9.3296
6440, 9.5697
6460, 10.2900
6480, 10.5987
6500, 10.4272
6520, 11.1475
6540, 11.4047
6560, 11.6448
6580, 11.4562
6600, 11.6620
6620, 11.9021
6640, 12.1079
6660, 12.3137
6680, 12.9311
6700, 12.6738
6720, 13.2912
6740, 13.4970
6760, 13.2226
6780, 13.8400
6800, 13.9944
6820, 14.1487
6840, 14.2516
6860, 14.3545
6880, 14.4574
6900, 14.5089
6920, 14.5603
6940, 14.6118
6960, 14.6632
6980, 14.6632
7000, 14.6632
7020, 14.6118
7040, 14.5946
7060, 14.5603
7080, 14.5089
7100, 13.9944
7120, 14.3545
7140, 14.2002
7160, 13.6342
7180, 13.8915
7200, 13.2226
7220, 13.4284
7240, 13.1712
7260, 12.9311
7280, 12.6224
7300, 11.9535
7320, 12.1593
7340, 11.9535
7360, 11.7477
7380, 11.1475
7400, 11.4562
7420, 11.3533
7440, 10.8388
7460, 10.7873
7480, 11.1989
7500, 11.1989
7520, 11.1989
7540, 11.1989
7560, 10.7873
7580, 10.7873
7600, 10.7873
7620, 11.2504
7640, 10.8388
7660, 10.8388
7680, 10.8388
7700, 10.8388
7720, 10.8388
7740, 10.8388
7760, 11.2504
7780, 10.7873
7800, 10.7873
7820, 11.1989
7840, 10.7359
7860, 10.7359
7880, 10.7359
7900, 10.7359
7920, 10.6844
7940, 11.0446
7960, 10.4786
7980, 10.7873
8000, 10.1871
8020, 9.9298
8040, 9.6726
8060, 9.7755
8080, 9.1066
8100, 9.1752
8120, 8.3520
8140, 8.3520
8160, 7.4774
8180, 7.5289
8200, 6.6199
8220, 6.2769
8240, 5.9168
8260, 5.5566
8280, 5.3508
8300, 5.0935
8320, 4.9906
8340, 4.8363
8360, 4.7849
8380, 4.7334
8400, 4.7334
8420, 4.7334
8440, 4.7849
8460, 4.8363
8480, 4.8878
8500, 4.4933
8520, 4.9906
8540, 5.5051
8560, 5.0421
8580, 5.0935
8600, 5.6080
8620, 5.1450
8640, 5.7109
8660, 5.2993
8680, 5.4537
8700, 5.6595
8720, 5.8653
8740, 6.2083
8760, 6.5685
8780, 6.9801
8800, 7.4431
8820, 7.9404
8840, 8.9008
8860, 9.0552
8880, 9.9813
8900, 10.1699
8920, 11.2504
8940, 11.5076
8960, 12.5709
8980, 12.7767
9000, 13.7886
9020, 14.3031
9040, 15.2120
9060, 15.1606
9080, 15.5207
9100, 15.7265
9120, 15.9323
9140, 16.0352
9160, 16.5497
9180, 16.1381
9200, 16.1381
9220, 16.5326
9240, 16.0867
9260, 16.0352
9280, 16.3782
9300, 16.2925
9320, 16.1724
9340, 15.6236
9360, 15.5207
9380, 15.8294
9400, 15.7265
9420, 15.2120
9440, 15.5722
9460, 15.0577
9480, 15.4178
9500, 15.3149
9520, 14.8176
9540, 14.6975
9560, 14.6118
9580, 14.4574
9600, 14.3545
9620, 14.2002
9640, 13.9944
9660, 14.2002
9680, 13.4799
9700, 12.7253
9720, 12.7253
9740, 11.8163
9760, 11.2504
9780, 10.6844
9800, 10.0842
9820, 9.9298
9840, 9.3467
9860, 8.4549
9880, 7.8375
9900, 7.3916
9920, 6.9286
9940, 6.5685
9960, 6.2769
9980, 6.0197
10000, 5.8653
10020, 5.2479
10040, 5.6080
10060, 5.5051
10080, 5.4537
10100, 4.9392
10120, 5.4022
10140, 4.8878
10160, 4.8878
10180, 5.3508
10200, 4.8363
10220, 4.8534
10240, 5.2993
10260, 5.2479
10280, 5.2479
10300, 5.2479
10320, 5.2479
10340, 5.2479
10360, 5.1964
10380, 5.1964
10400, 5.1964
10420, 5.1450
10440, 5.0935
10460, 5.0421
10480, 5.0421
10500, 4.5276
10520, 4.5447
10540, 5.0421
10560, 5.0421
10580, 5.0935
10600, 5.0935
10620, 5.1450
10640, 5.1964
10660, 5.2993
10680, 4.9049
10700, 5.4537
10720, 5.5051
10740, 5.6595
10760, 5.8138
10780, 5.9168
10800, 6.0539
10820, 6.2597
10840, 6.4141
10860, 6.6199
10880, 6.8257
10900, 7.4945
10920, 7.2373
