time,cm
20, 10.8388
40, 10.8559
60, 10.8388
80, 10.8388
100, 10.8388
120, 10.4272
140, 10.4443
160, 10.4443
180, 10.4272
200, 10.8388
220, 10.8388
240, 10.3757
260, 10.3929
280, 10.3929
300, 10.3929
320, 10.3929
340, 10.3757
360, 10.3929
380, 10.3929
400, 10.3929
420, 10.3757
440, 10.3757
460, 10.3757
480, 10.3929
500, 10.3757
520, 10.3757
540, 10.3929
560, 10.3757
580, 10.3757
600, 10.3757
620, 10.3929
640, 10.3929
660, 10.3929
680, 10.8559
700, 10.3757
720, 10.3929
740, 10.3929
760, 10.3757
780, 10.3757
800, 10.3757
820, 10.3757
840, 10.3929
860, 10.3929
880, 10.3757
900, 10.3929
920, 10.3929
940, 10.3757
960, 10.3757
980, 10.3757
1000, 10.3929
1020, 10.3929
1040, 10.3929
1060, 10.3757
1080, 10.3757
1100, 10.3929
1120, 10.3929
1140, 10.3757
1160, 10.3929
1180, 10.3929
1200, 10.3929
1220, 10.3757
1240, 10.3929
1260, 10.3757
1280, 10.3757
1300, 10.3929
1320, 10.3929
1340, 10.3757
1360, 10.3929
1380, 10.3757
1400, 10.3929
1420, 10.3929
1440, 10.3757
1460, 10.3757
1480, 10.3929
1500, 10.3757
1520, 10.3757
1540, 10.3929
1560, 10.3929
1580, 10.3757
1600, 10.3929
1620, 10.3929
1640, 10.3929
1660, 10.3929
1680, 10.3929
1700, 10.3757
1720, 10.3929
1740, 10.3929
1760, 10.3757
1780, 10.3929
1800, 10.3757
1820, 10.3929
1840, 10.8388
1860, 10.8388
1880, 10.8388
1900, 10.4272
1920, 10.4443
1940, 10.4443
1960, 10.4443
1980, 10.4272
2000, 10.4272
2020, 10.4786
2040, 10.9417
2060, 10.9931
2080, 11.0446
2100, 10.6844
2120, 10.7530
2140, 10.8388
2160, 10.9417
2180, 11.0446
2200, 11.1475
2220, 11.3018
2240, 11.4562
2260, 11.6620
2280, 11.9192
2300, 12.5709
2320, 12.8282
2340, 12.6738
2360, 12.9825
2380, 13.7886
2400, 13.7371
2420, 14.6118
2440, 14.6118
2460, 15.1091
2480, 15.9838
2500, 16.0352
2520, 16.4468
2540, 17.3043
2560, 17.2529
2580, 17.6645
2600, 18.0590
2620, 18.4362
2640, 19.2423
2660, 19.1394
2680, 19.8940
2700, 19.7568
2720, 20.4599
2740, 20.2541
2760, 20.9744
2780, 20.7686
2800, 21.0259
2820, 21.6947
2840, 21.4718
2860, 21.6776
2880, 21.8319
2900, 21.9863
2920, 22.1406
2940, 22.2435
2960, 22.3464
2980, 22.4493
3000, 22.9638
3020, 22.6037
3040, 22.6380
3060, 23.1010
3080, 22.7066
3100, 23.1525
3120, 23.1696
3140, 23.1525
3160, 23.1525
3180, 23.1182
3200, 22.6037
3220, 22.9467
3240, 22.3979
3260, 22.2435
3280, 22.0377
3300, 21.7805
3320, 21.4718
3340, 21.5918
3360, 21.1802
3380, 20.7686
3400, 20.3570
3420, 19.4995
3440, 19.4995
3460, 19.0879
3480, 18.2133
3500, 17.8703
3520, 17.5101
3540, 17.1500
3560, 17.2529
3580, 16.4983
3600, 16.1896
3620, 16.2754
3640, 15.9838
3660, 15.6751
3680, 15.3835
3700, 15.0577
3720, 14.7661
3740, 14.0458
3760, 13.7371
3780, 13.8915
3800, 13.1883
3820, 13.3255
3840, 12.6224
3860, 12.7767
3880, 12.4852
3900, 11.7134
3920, 11.4047
3940, 11.5076
3960, 10.7359
3980, 10.4443
4000, 10.0842
4020, 9.7755
4040, 9.4668
4060, 9.3296
4080, 9.0209
4100, 8.7636
4120, 8.5064
4140, 8.3006
4160, 8.0433
4180, 7.8547
4200, 7.6489
4220, 7.4431
4240, 7.2887
4260, 7.0830
4280, 6.8772
4300, 6.7228
4320, 6.6199
4340, 6.5170
4360, 6.4141
4380, 6.3798
4400, 6.3626
4420, 6.3798
4440, 6.4141
4460, 6.4656
4480, 6.4656
4500, 6.5170
4520, 6.5170
4540, 6.5170
4560, 6.5170
4580, 6.5170
4600, 6.5342
4620, 6.1226
4640, 6.6199
4660, 6.7228
4680, 6.8772
4700, 7.0315
4720, 7.1858
4740, 7.3916
4760, 7.6489
4780, 7.8375
4800, 8.1462
4820, 8.4035
4840, 8.6607
4860, 8.9694
4880, 9.2781
4900, 9.4668
4920, 9.7755
4940, 10.5987
4960, 10.9417
4980, 10.9417
5000, 11.7477
5020, 12.1593
5040, 12.1250
5060, 12.5195
5080, 12.8796
5100, 13.7028
5120, 13.5828
5140, 13.9429
5160, 14.3031
5180, 14.6118
5200, 14.9719
5220, 15.7265
5240, 15.6236
5260, 16.3954
5280, 16.7555
5300, 16.6526
5320, 17.4072
5340, 17.3043
5360, 17.6645
5380, 17.9560
5400, 18.3162
5420, 19.0879
5440, 18.9850
5460, 19.3452
5480, 19.6539
5500, 19.9969
5520, 20.3227
5540, 20.6143
5560, 20.9230
5580, 21.1802
5600, 21.4375
5620, 21.6776
5640, 21.8319
5660, 22.4493
5680, 22.1406
5700, 22.6551
5720, 22.6894
5740, 22.2950
5760, 22.2950
5780, 22.7066
5800, 22.2435
5820, 22.6551
5840, 22.1921
5860, 22.1406
5880, 22.5008
5900, 22.3979
5920, 21.8319
5940, 22.1406
5960, 21.5404
5980, 21.7805
6000, 21.5747
6020, 20.9230
6040, 21.1288
6060, 20.8715
6080, 20.1512
6100, 19.8597
6120, 19.9969
6140, 19.2423
6160, 18.8822
6180, 18.9850
6200, 18.6249
6220, 18.2819
6240, 17.5101
6260, 17.1500
6280, 17.2014
6300, 16.3782
6320, 16.0352
6340, 16.1381
6360, 15.7780
6380, 15.4350
6400, 14.6632
6420, 14.7147
6440, 13.8915
6460, 13.9944
6480, 13.6514
6500, 13.2741
6520, 12.9311
6540, 12.1593
6560, 11.7992
6580, 11.5591
6600, 11.2504
6620, 10.9417
6640, 10.6501
6660, 10.3929
6680, 10.4958
6700, 10.2385
6720, 9.4668
6740, 9.2781
6760, 8.9694
6780, 8.6607
6800, 8.4035
6820, 8.1462
6840, 8.4035
6860, 7.6832
6880, 7.4774
6900, 7.3231
6920, 7.1858
6940, 7.0315
6960, 6.9286
6980, 6.8257
7000, 6.7228
7020, 6.6199
7040, 6.5685
7060, 6.5170
7080, 6.5170
7100, 6.5170
7120, 6.5685
7140, 6.1226
7160, 6.1054
7180, 6.5856
7200, 6.5685
7220, 6.5685
7240, 6.6199
7260, 6.6714
7280, 6.7743
7300, 6.9286
7320, 7.1344
7340, 7.3916
7360, 7.6489
7380, 7.9576
7400, 8.1977
7420, 8.5578
7440, 8.8665
7460, 9.2267
7480, 9.4668
7500, 9.8269
7520, 10.1871
7540, 10.5815
7560, 11.4047
7580, 11.8163
7600, 12.2108
7620, 12.2108
7640, 12.6224
7660, 13.4799
7680, 13.4284
7700, 13.7886
7720, 14.1487
7740, 14.9205
7760, 15.2120
7780, 15.0577
7800, 15.7780
7820, 15.6236
7840, 15.9323
7860, 16.1896
7880, 16.4983
7900, 16.7898
7920, 17.5101
7940, 17.3558
7960, 17.6131
7980, 17.8188
8000, 18.0247
8020, 18.5734
8040, 18.6763
8060, 18.3162
8080, 18.7964
8100, 18.3162
8120, 18.7278
8140, 18.2647
8160, 18.6763
8180, 18.2304
8200, 18.1790
8220, 18.0761
8240, 17.9732
8260, 17.8188
8280, 17.6131
8300, 17.8188
8320, 17.5616
8340, 17.2529
8360, 16.4811
8380, 16.1381
8400, 15.7780
8420, 15.8809
8440, 15.5207
8460, 15.2120
8480, 14.9719
8500, 14.3545
8520, 14.2516
8540, 14.2002
8560, 14.6632
8580, 14.7147
8600, 14.7661
8620, 14.8176
8640, 14.8519
8660, 14.4574
8680, 14.8519
8700, 14.4060
8720, 14.8176
8740, 14.8176
8760, 14.8176
8780, 14.4060
8800, 14.4574
8820, 14.9548
8840, 15.1263
8860, 15.3149
8880, 15.1606
8900, 15.9838
8920, 16.3954
8940, 16.4468
8960, 16.9099
8980, 17.8188
9000, 18.2819
9020, 18.2304
9040, 18.5220
9060, 19.1908
9080, 18.9336
9100, 19.0365
9120, 19.0879
9140, 19.5510
9160, 19.5510
9180, 19.5510
9200, 19.0879
9220, 19.0879
9240, 19.4995
9260, 19.0879
9280, 19.0879
9300, 19.5338
9320, 19.1394
9340, 19.1394
9360, 19.6024
9380, 19.5853
9400, 19.6024
9420, 19.1394
9440, 19.5510
9460, 19.0879
9480, 19.4995
9500, 19.4481
9520, 18.9336
