time,cm
20, 10.7873
40, 10.7873
60, 10.7873
80, 10.7873
100, 10.7873
120, 11.1989
140, 11.1989
160, 10.7359
180, 10.7359
200, 10.7530
220, 10.7359
240, 10.7359
260, 11.1989
280, 10.7873
300, 11.1989
320, 10.7873
340, 10.7873
360, 10.7873
380, 10.7873
400, 10.7873
420, 10.7873
440, 10.7873
460, 10.7873
480, 10.7873
500, 10.7873
520, 10.7873
540, 11.2504
560, 10.8388
580, 10.8388
600, 10.8388
620, 11.3018
640, 11.3018
660, 10.8388
680, 10.8388
700, 10.8388
720, 10.8388
740, 11.3018
760, 10.8902
780, 10.8902
800, 10.8902
820, 10.8902
840, 11.3018
860, 10.8388
880, 10.8388
900, 10.8388
920, 10.8388
940, 10.8388
960, 10.8388
980, 10.8388
1000, 10.8388
1020, 10.8559
1040, 10.8388
1060, 10.8045
1080, 10.7873
1100, 10.8902
1120, 10.9417
1140, 11.0446
1160, 11.0960
1180, 11.0960
1200, 11.0960
1220, 11.0960
1240, 11.0960
1260, 11.4562
1280, 11.0103
1300, 10.9931
1320, 11.4047
1340, 11.4047
1360, 11.4047
1380, 10.9931
1400, 10.9931
1420, 11.0446
1440, 11.0446
1460, 11.0446
1480, 11.5076
1500, 11.0960
1520, 11.0960
1540, 11.0960
1560, 11.5591
1580, 11.5591
1600, 11.0960
1620, 11.0960
1640, 11.0960
1660, 11.0960
1680, 11.0960
1700, 11.0960
1720, 11.0960
1740, 11.0960
1760, 11.5076
1780, 11.4905
1800, 11.5076
1820, 11.5076
1840, 11.0446
1860, 11.0446
1880, 11.0446
1900, 11.0446
1920, 11.0446
1940, 11.0446
1960, 11.0446
1980, 11.0446
2000, 11.5076
2020, 11.5076
2040, 11.0960
2060, 11.0960
2080, 11.0960
2100, 11.0960
2120, 11.0960
2140, 11.0960
2160, 11.0960
2180, 11.0960
2200, 11.0960
2220, 11.0960
2240, 11.0960
2260, 11.5076
2280, 11.0446
2300, 11.0446
2320, 11.0446
2340, 11.0446
2360, 11.0446
2380, 11.0446
2400, 11.0446
2420, 11.0446
2440, 10.9931
2460, 10.9931
2480, 10.9931
2500, 10.9931
2520, 10.9931
2540, 11.4047
2560, 11.4047
2580, 11.4047
2600, 10.9417
2620, 10.9417
2640, 10.9417
2660, 10.9588
2680, 10.9417
2700, 10.9417
2720, 10.9417
2740, 10.9417
2760, 10.9417
2780, 11.4047
2800, 11.4047
2820, 11.4047
2840, 10.9931
2860, 10.9931
2880, 10.9931
2900, 10.9931
2920, 10.9931
2940, 10.9931
2960, 10.9931
2980, 11.4562
3000, 11.4562
3020, 11.4562
3040, 11.4562
3060, 11.4562
3080, 11.4562
3100, 10.9931
3120, 10.9931
3140, 10.9931
3160, 10.9931
3180, 11.4047
3200, 11.4047
3220, 11.4047
3240, 11.4047
3260, 11.4047
3280, 11.4047
3300, 11.4047
3320, 11.4047
3340, 11.4047
3360, 11.4047
3380, 11.4047
3400, 11.4047
3420, 11.4047
3440, 10.9931
3460, 10.9931
3480, 10.9931
3500, 10.9931
3520, 10.9931
3540, 10.9931
3560, 10.9931
3580, 10.9931
3600, 10.9931
3620, 10.9931
3640, 10.9931
3660, 10.9931
3680, 10.9931
3700, 10.9931
3720, 10.9931
3740, 10.9931
3760, 10.9931
3780, 10.9931
3800, 10.9931
3820, 10.9931
3840, 10.9931
3860, 10.9931
3880, 10.9931
3900, 10.9931
3920, 10.9931
3940, 10.9931
3960, 10.9931
3980, 10.9931
4000, 10.9931
4020, 10.9931
4040, 10.9931
4060, 10.9931
4080, 10.9931
4100, 10.9931
4120, 11.0103
4140, 10.9931
4160, 10.9931
4180, 10.9931
4200, 10.9931
4220, 10.9931
4240, 10.9931
4260, 10.9931
4280, 10.9931
4300, 10.9931
4320, 10.9931
4340, 10.9931
4360, 10.9931
4380, 10.9931
4400, 10.9931
4420, 10.9931
4440, 10.9931
4460, 10.9931
4480, 10.9931
4500, 10.9931
4520, 10.9931
4540, 10.9931
4560, 10.9931
4580, 10.9931
4600, 10.9931
4620, 10.9931
4640, 10.9931
4660, 10.9931
4680, 10.9931
4700, 10.9931
4720, 10.9931
4740, 10.9931
4760, 10.9931
4780, 11.4562
4800, 11.4562
