time;truth;sensor;kalman
3680;6,883;6,2769;6,3048
3700;6,883;6,1226;6,1928
3720;6,6755;5,951;6,0664
3740;6,4679;5,8653;5,9491
3760;6,4679;5,2993;5,7183
3780;6,2226;5,1964;5,5064
3800;6,2226;5,5051;5,4156
3820;6,0151;5,4022;5,3258
3840;5,8453;5,2479;5,2235
3860;5,8453;5,0935;5,1102
3880;5,6;4,5276;4,8832
3900;5,6;4,9049;4,7963
3920;5,3547;4,7334;4,6924
3940;5,166;4,1332;4,4653
3960;5,166;4,0303;4,2576
3980;4,9774;4,3904;4,1841
4000;4,9774;4,2875;4,1102
4020;4,7887;3,7216;3,9185
4040;4,5623;3,7216;3,7679
4060;4,5623;3,6701;3,6401
4080;4,4302;3,6187;3,5322
4100;4,4302;4,0817;3,571
4120;4,3925;3,6187;3,5025
4140;4,3547;3,6187;3,4568
4160;4,3547;4,116;3,5556
4180;4,2981;3,6701;3,5401
4200;4,2981;4,2361;3,6796
4220;4,2792;3,8759;3,7179
4240;4,3547;4,0303;3,7966
4260;4,3547;4,1332;3,8959
4280;4,4491;4,7849;4,1497
4300;4,4491;4,4762;4,2926
4320;4,6943;5,1964;4,5965
4340;4,9396;4,8878;4,7778
4360;4,9396;5,5394;5,0924
4380;5,2981;5,8138;5,4248
4400;5,2981;6,0025;5,7478
4420;5,6377;5,7624;5,9515
4440;6,034;6,4141;6,2749
4460;6,034;6,6199;6,5872
4480;6,3925;6,9286;6,9135
4500;6,3925;7,2202;7,2453
4520;6,6943;7,5289;7,5842
4540;7,0717;7,8375;7,9271
4560;7,0717;8,1977;8,2845
4580;7,5811;8,5578;8,6527
4600;7,5811;8,8665;9,0154
4620;8,1283;9,2095;9,3803
4640;8,7132;9,3639;9,6982
4660;8,7132;9,6726;10,0131
4680;9,2226;9,5182;10,2079
4700;9,2226;10,29;10,5323
4720;9,6566;10,5301;10,8346
4740;10,1094;10,7873;11,1218
4760;10,1094;11,0446;11,3957
4780;10,5623;11,2504;11,6452
4800;10,5623;11,4905;11,8825
4820;11,0151;11,6963;12,101
4840;11,3925;11,5076;12,2046
4860;11,3925;12,1593;12,422
4880;11,7509;12,3651;12,6266
4900;11,7509;12,5709;12,821
4920;12,0906;12,7767;13,0075
4940;12,4302;12,9654;13,1839
4960;12,4302;13,1712;13,3569
4980;12,7509;13,7886;13,6318
5000;12,7509;13,5313;13,7748
5020;13,0906;14,0973;14,012
5040;13,3925;14,2516;14,2277
5060;13,3925;13,9429;14,3085
5080;13,6566;14,0458;14,3774
5100;13,6566;14,0973;14,4248
5120;13,8642;14,2002;14,4684
5140;14,0528;14,7147;14,6143
5160;14,0528;14,3545;14,6294
5180;14,1472;14,406;14,6365
5200;14,1472;14,4574;14,6386
5220;14,2792;14,5603;14,6512
5240;14,3736;14,6118;14,6616
5260;14,3736;14,6461;14,6674
5280;14,5057;14,7147;14,6793
5300;14,5057;15,1606;14,7929
5320;14,6;14,7661;14,7835
5340;14,6377;14,8004;14,7766
5360;14,6377;14,8004;14,7643
5380;14,6755;15,2635;14,8654
5400;14,6755;15,2635;14,9483
5420;14,7509;15,2635;15,0155
5440;14,7321;14,8004;14,9525
5460;14,7321;14,8004;14,8943
5480;14,7321;14,8176;14,846
5500;14,7321;15,212;14,9023
5520;14,7321;14,749;14,8334
5540;14,7132;14,6975;14,7606
5560;14,7132;15,1091;14,8021
5580;14,6943;14,6461;14,7226
5600;14,6943;15,0062;14,7462
5620;14,6566;14,9548;14,7559
5640;14,5811;14,4574;14,641
5660;14,5811;14,406;14,5314
5680;14,4491;14,3374;14,4232
5700;14,4491;14,2516;14,3129
5720;14,3925;14,6118;14,3141
5740;14,2604;14,0973;14,1917
5760;14,2604;13,9429;14,0535
5780;14,166;13,7886;13,9026
5800;14,166;13,5828;13,7289
5820;13,9962;13,4284;13,5496
5840;13,7509;13,2741;13,3666
5860;13,7509;13,0168;13,1556
5880;13,4491;12,811;12,9348
5900;13,4491;12,5709;12,6981
5920;13,166;12,4166;12,4708
5940;12,8075;12,2622;12,2528
5960;12,8075;12,0564;12,0311
5980;12,4679;11,9021;11,8203
6000;12,4679;11,6963;11,6068
6020;12,2226;11,5419;11,4049
6040;11,9396;11,3361;11,2005
6060;11,9396;11,1475;10,9991
6080;11,6755;10,8902;10,7834
6100;11,6755;10,6844;10,5688
6120;11,4113;10,4786;10,3556
6140;11,0528;10,3414;10,1614
6160;11,0528;10,1699;9,9752
6180;10,7321;9,5182;9,6749
6200;10,7321;9,3296;9,3933
6220;10,4679;9,4668;9,211
6240;10,1283;8,9008;8,9375
6260;10,1283;9,1752;8,7973
6280;9,7321;8,9523;8,647
6300;9,7321;8,7636;8,4961
6320;9,3736;8,0948;8,223
6340;9,034;8,352;8,0777
6360;9,034;8,1977;7,9392
6380;8,6943;8,0433;7,8059
6400;8,6943;7,8375;7,6633
6420;8,3736;7,6318;7,5121
6440;8,1094;7,426;7,3528
6460;8,1094;7,2373;7,1904
6480;7,7887;7,083;7,0334
6500;7,7887;6,8772;6,8678
6520;7,5245;6,6714;6,6943
6540;7,2415;6,4656;6,5137
6560;7,2415;6,2769;6,3312
6580;6,9208;6,0539;6,1381
6600;6,9208;5,9168;5,9576
6620;6,5245;5,2993;5,6667
6640;6,2604;5,1964;5,4106
6660;6,2604;5,5566;5,302
6680;6,1283;5,4022;5,1913
6700;6,1283;5,1964;5,065
6720;5,9962;4,5962;4,8252
6740;5,7321;4,4418;4,5995
6760;5,7321;4,6991;4,4904
6780;5,4868;4,5791;4,3867
6800;5,4868;3,9788;4,1659
6820;5,2604;4,339;4,0859
6840;5,0528;4,2361;4,0106
6860;5,0528;3,6701;3,8216
6880;4,8453;3,6187;3,6637
6900;4,8453;4,0817;3,6624
6920;4,7132;3,5672;3,5491
6940;4,6755;4,0303;3,5846
6960;4,6755;4,0303;3,6308
6980;4,6566;3,5672;3,5677
7000;4,6566;3,5672;3,5255
7020;4,6377;4,0817;3,6302
7040;4,6566;3,6187;3,6141
7060;4,6566;3,6187;3,6084
7080;4,5811;3,6701;3,6239
7100;4,5811;3,6701;3,6436
7120;4,5811;3,7216;3,6788
7140;4,5623;4,2704;3,8517
7160;4,5623;4,339;4,0208
7180;4,6566;4,3733;4,1757
7200;4,6566;4,4418;4,325
7220;4,7509;4,4762;4,4588
7240;4,8075;4,0303;4,4566
7260;4,8075;4,0817;4,4612
7280;4,8642;4,1332;4,4717
7300;4,8642;4,1846;4,487
7320;4,9585;4,7334;4,6318
7340;4,9962;4,8363;4,7756
7360;4,9962;4,4762;4,8005
7380;5,0906;5,0935;4,9686
7400;5,0906;5,3508;5,1692
7420;5,2792;5,5566;5,3835
7440;5,5434;5,3508;5,5045
7460;5,5434;6,0711;5,7773
7480;5,9396;6,3112;6,0591
7500;5,9396;6,5685;6,3511
7520;6,2981;6,8257;6,6501
7540;6,7132;7,083;6,9534
7560;6,7132;7,3916;7,2715
7580;7,1283;7,6832;7,5964
7600;7,1283;8,0433;7,9427
7620;7,5811;8,4035;8,3059
7640;8,1283;8,7465;8,6773
7660;8,1283;9,0723;9,0499
7680;8,7321;9,3124;9,4001
7700;8,7321;9,4668;9,7079
7720;9,2604;9,724;10,0038
7740;9,7132;9,9641;10,2844
7760;9,7132;10,2214;10,5556
7780;10,1283;10,4272;10,8054
7800;10,1283;10,633;11,0367
7820;10,5434;10,7873;11,2392
7840;10,8642;10,9417;11,4172
7860;10,8642;11,1475;11,5879
7880;11,166;11,2332;11,7228
7900;11,166;11,3533;11,8366
7920;11,4113;11,4562;11,9292
7940;11,6566;11,5591;12,0051
7960;11,6566;11,662;12,0683
7980;11,7509;11,7649;12,1222
8000;11,7509;11,9021;12,1787
8020;11,9019;12,005;12,2306
8040;12,1094;12,1593;12,2932
8060;12,1094;12,2622;12,3536
8080;12,317;12,4166;12,4268
8100;12,317;12,5195;12,4993
8120;12,5245;12,6738;12,5853
8140;12,7509;12,7767;12,6713
8160;12,7509;12,9139;12,7666
8180;12,9019;13,0683;12,8751
8200;12,9019;13,2226;12,9957
8220;13,1094;13,377;13,127
8240;13,3547;13,5313;13,2679
8260;13,3547;13,7371;13,4301
8280;13,6189;14,3374;13,71
8300;13,6189;14,0973;13,879
8320;13,9019;14,2345;14,0463
8340;14,166;14,3888;14,2162
8360;14,166;15,0062;14,5046
8380;14,4302;15,1606;14,7779
8400;14,4302;15,3149;15,0367
8420;14,6755;15,4693;15,2817
8440;14,9208;15,5722;15,5007
8460;14,9208;15,6751;15,6963
8480;15,1472;15,778;15,8712
8500;15,1472;15,8123;16,0104
8520;15,2792;16,2754;16,2269
8540;15,4302;15,8637;16,2894
8560;15,4302;15,9152;16,3358
8580;15,5057;15,9323;16,3604
8600;15,5057;15,9323;16,363
8620;15,5057;15,9152;16,3437
8640;15,5245;15,9152;16,3112
8660;15,5245;15,8809;16,2602
8680;15,5434;15,4178;16,087
8700;15,5434;15,3664;15,9142
8720;15,5057;15,7265;15,8481
8740;15,4491;15,6751;15,773
8760;15,4491;15,6236;15,6915
8780;15,3358;15,1606;15,5024
8800;15,3358;15,1091;15,3261
8820;15,2792;15,4693;15,2669
8840;15,1849;14,9548;15,0901
8860;15,1849;15,3149;15,0337
8880;15,0717;14,8004;14,862
8900;15,0717;15,1606;14,8126
8920;14,9019;14,6461;14,6494
8940;14,8075;15,0062;14,6092
8960;14,8075;14,869;14,5508
8980;14,6755;14,2345;14,3515
9000;14,6755;14,4403;14,2429
9020;14,4868;13,7886;13,9977
9040;14,2038;13,5828;13,7478
9060;14,2038;13,3255;13,4825
9080;13,8453;13,1197;13,2186
9100;13,8453;12,8796;12,9488
9120;13,4491;12,6738;12,6842
9140;13,0906;12,4166;12,4125
9160;13,0906;12,2622;12,162
9180;12,7321;12,0564;11,918
9200;12,7321;11,8506;11,6805
9220;12,3925;11,1989;11,3371
9240;12,0528;11,4562;11,1325
9260;12,0528;10,7873;10,8152
9280;11,7321;11,0446;10,6348
9300;11,7321;10,8388;10,4564
9320;11,3925;10,6844;10,2926
9340;11,0717;10,5301;10,1411
9360;11,0717;10,4272;10,0126
9380;10,8264;10,3414;9,9078
9400;10,8264;10,2214;9,8137
9420;10,6;10,1185;9,7322
9440;10,4113;10,0156;9,6605
9460;10,4113;9,4668;9,4833
9480;10,2792;9,7755;9,4305
9500;10,2792;9,3124;9,2896
9520;10,0717;9,5182;9,2403
9540;9,9019;9,4153;9,1914
9560;9,9019;8,918;9,0419
9580;9,6943;8,7636;8,8912
9600;9,6943;9,0723;8,8559
9620;9,4679;8,9008;8,7984
9640;9,1472;8,7122;8,7163
9660;9,1472;8,0433;8,4909
9680;8,9208;8,2491;8,3622
9700;8,9208;7,5974;8,1009
9720;8,6189;7,3745;7,8336
9740;8,166;7,1858;7,5707
9760;8,166;7,426;7,4209
9780;7,8642;6,8257;7,1575
9800;7,8642;7,083;7,0126
9820;7,5434;6,8772;6,8539
9840;7,2226;6,6714;6,6833
9860;7,2226;6,4656;6,5026
9880;6,8642;6,2769;6,3175
9900;6,8642;6,1226;6,1377
9920;6,5245;5,951;5,9584
9940;6,2226;5,8653;5,8012
9960;6,2226;5,2479;5,5293
9980;5,9962;5,5909;5,4008
10000;5,9962;5,5051;5,2886
10020;5,8075;5,4022;5,1857
10040;5,6189;4,8363;4,9736
10060;5,6189;4,802;4,8011
10080;5,4302;5,1964;4,7712
10100;5,4302;5,145;4,7515
10120;5,3358;5,145;4,7524
10140;5,2792;5,145;4,7697
10160;5,2792;5,1964;4,8126
10180;5,2415;4,7849;4,7593
10200;5,2415;4,8878;4,7511
10220;5,317;5,5051;4,9107
10240;5,4113;5,2479;4,993
10260;5,4113;5,8996;5,2353
10280;5,6943;5,7109;5,4016
10300;5,6943;6,4141;5,7243
10320;6,0528;6,7228;6,0796
10340;6,4491;6,9629;6,4422
10360;6,4491;7,2887;6,8288
10380;6,9208;7,4945;7,2023
10400;6,9208;7,6832;7,5564
10420;7,3736;7,8547;7,8863
10440;7,7698;7,9404;8,1707
10460;7,7698;7,9404;8,392
10480;8,0151;7,9404;8,5569
10500;8,0151;7,889;8,6594
10520;8,0151;7,8375;8,7076
10540;8,0151;7,7346;8,6965
10560;8,0151;7,5289;8,6093
10580;7,8453;6,9286;8,3587
10600;7,8453;7,1344;8,173
10620;7,6377;6,9286;7,9431
10640;7,317;6,174;7,5399
10660;7,317;6,4141;7,2419
10680;6,883;5,7109;6,8016
10700;6,883;5,9682;6,4848
10720;6,4679;5,7624;6,1624
10740;6,1472;5,5566;5,839
10760;6,1472;5,4537;5,5442
10780;5,8453;5,4022;5,2901
10800;5,8453;4,8878;4,9573
10820;5,6566;4,8878;4,6887
10840;5,6;4,8878;4,4782
10860;5,6;4,8878;4,3196
10880;5,5434;4,8878;4,2068
10900;5,5434;4,9392;4,1472
10920;5,6;5,4537;4,25
10940;5,5623;5,5051;4,3753
10960;5,5623;5,5051;4,5047
10980;5,6566;5,5566;4,6484
11000;5,6566;5,5566;4,789
11020;5,7509;5,5909;4,9328
11040;5,7132;5,608;5,0728
11060;5,7132;5,6595;5,2155
11080;5,7887;5,6595;5,3453
11100;5,7887;5,6595;5,4617
11120;5,7321;5,1964;5,4478
11140;5,8075;5,6595;5,5533
11160;5,8075;5,6423;5,6401
11180;5,7698;5,6595;5,7178
11200;5,7698;5,1964;5,6653
11220;5,7698;5,1964;5,6166
11240;5,8075;5,6938;5,6966
11260;5,8075;5,7624;5,7796
11280;5,7887;5,3508;5,743
11300;5,7887;5,4022;5,7196
11320;5,9208;6,0197;5,8506
11340;6,0528;5,7109;5,8811
11360;6,0528;6,3284;6,0575
11380;6,2792;6,1226;6,1518
11400;6,2792;6,8257;6,4031
11420;6,5245;7,1344;6,6895
11440;6,9585;7,0315;6,9004
11460;6,9585;7,3745;7,1564
11480;7,4491;7,7346;7,4541
11500;7,4491;8,0948;7,7861
11520;8,0528;8,4549;8,1454
11540;8,6566;8,8665;8,539
11560;8,6566;9,5697;9,0333
11580;9,2792;9,9813;9,5382
11600;9,2792;10,3757;10,0445
11620;9,9396;10,7873;10,5531
11640;10,5434;11,5591;11,1515
11660;10,5434;11,8506;11,7031
11680;11,166;12,0564;12,1894
11700;11,166;12,2622;12,6166
11720;11,6377;12,8625;13,0903
11740;12,0151;13,034;13,4945
11760;12,0151;13,1883;13,8329
11780;12,2792;13,3427;14,1141
