time,cm
7300, 5.6776
7320, 5.9421
7340, 6.2731
7360, 6.6047
7380, 6.8702
7400, 7.2026
7420, 7.6021
7440, 8.0023
7460, 8.4701
7480, 8.9389
7500, 9.4086
7520, 9.812
7540, 10.216
7560, 10.6884
7580, 11.2294
7600, 11.6359
7620, 12.1792
7640, 12.7237
7660, 13.2011
7680, 13.6796
7700, 14.0905
7720, 14.4335
7740, 14.777
7760, 15.121
7780, 15.3966
7800, 15.6609
7820, 15.9822
7840, 16.3031
7860, 16.6236
7880, 17.0075
7900, 17.3268
7920, 17.6458
7940, 17.9006
7960, 18.2186
7980, 18.4092
8000, 18.5362
8020, 18.6631
8040, 18.7266
8060, 18.7266
8080, 18.6631
8100, 18.5997
8120, 18.5362
8140, 18.5362
8160, 18.4727
8180, 18.4727
8200, 18.3457
8220, 18.2186
8240, 18.0278
8260, 17.8369
8280, 17.582
8300, 17.3268
8320, 16.9435
8340, 16.5595
8360, 16.1748
8380, 15.7252
8400, 15.3277
8420, 14.8458
8440, 14.5022
8460, 14.1591
8480, 13.9535
8500, 13.7481
8520, 13.7481
8540, 13.8165
8560, 13.885
8580, 14.022
8600, 14.1591
8620, 14.2277
8640, 14.2963
8660, 14.2277
8680, 14.1591
8700, 14.0905
8720, 14.0905
8740, 14.1591
8760, 14.2277
8780, 14.3649
8800, 14.4335
8820, 14.5709
8840, 14.777
8860, 15.121
8880, 15.5322
8900, 16.0465
8920, 16.6236
8940, 17.1353
8960, 17.7095
8980, 18.2822
9000, 18.6631
9020, 18.9801
9040, 19.2333
9060, 19.3598
9080, 19.423
9100, 19.423
9120, 19.423
9140, 19.423
9160, 19.3598
9180, 19.3598
9200, 19.2966
9220, 19.2966
9240, 19.2966
9260, 19.3598
9280, 19.3598
9300, 19.423
9320, 19.423
9340, 19.423
9360, 19.423
9380, 19.423
9400, 19.3598
9420, 19.3598
9440, 19.2966
9460, 19.2333
9480, 19.1067
9500, 19.0434
9520, 18.9167
9540, 18.7266
9560, 18.4727
9580, 18.155
9600, 17.8369
9620, 17.4545
9640, 17.1353
9660, 16.7516
9680, 16.4314
9700, 16.1107
9720, 15.8537
9740, 15.5965
9760, 15.3277
9780, 15.0522
9800, 14.7083
9820, 14.3649
9840, 14.022
9860, 13.6112
9880, 13.2011
9900, 12.7918
9920, 12.3832
9940, 11.9753
9960, 11.5681
9980, 11.1617
10000, 10.8235
10020, 10.4183
10040, 10.0813
10060, 9.812
10080, 9.543
10100, 9.2743
10120, 9.0059
10140, 8.6709
10160, 8.4032
10180, 8.0691
10200, 7.7355
10220, 7.4689
10240, 7.1361
10260, 6.8702
10280, 6.6047
10300, 6.3394
10320, 6.1407
10340, 6.0083
10360, 5.876
10380, 5.6776
10400, 5.5455
10420, 5.4134
10440, 5.2815
10460, 5.2155
10480, 5.1496
10500, 5.0836
10520, 5.0177
10540, 4.9519
10560, 5.0177
10580, 5.0177
10600, 5.0836
10620, 5.0836
10640, 5.1496
10660, 5.1496
10680, 5.0836
10700, 5.0836
10720, 5.0836
10740, 5.0836
10760, 5.0836
10780, 5.0836
10800, 5.0836
10820, 5.0177
10840, 5.0177
10860, 5.0177
10880, 5.0177
10900, 4.9519
10920, 4.9519
10940, 4.886
10960, 4.886
10980, 4.886
11000, 4.9519
11020, 5.0177
11040, 5.1496
11060, 5.2815
11080, 5.4795
11100, 5.8098
11120, 6.2069
11140, 6.671
11160, 7.2692
11180, 7.8689
11200, 8.604
11220, 9.2743
11240, 9.9466
11260, 10.6208
11280, 11.3648
11300, 12.0432
11320, 12.7237
11340, 13.3378
11360, 13.885
11380, 14.4335
11400, 14.9834
11420, 15.5322
11440, 16.0465
11460, 16.4955
11480, 16.9435
11500, 17.3268
11520, 17.6458
11540, 17.9006
11560, 18.0915
11580, 18.2822
11600, 18.4092
11620, 18.4727
11640, 18.5362
11660, 18.6631
11680, 18.79
11700, 18.9167
11720, 19.0434
11740, 19.1067
11760, 19.17
11780, 19.2333
11800, 19.17
11820, 19.1067
11840, 19.0434
11860, 18.9801
11880, 18.8534
11900, 18.7266
11920, 18.5997
11940, 18.4727
11960, 18.3457
11980, 18.2186
12000, 18.0915
12020, 17.9006
12040, 17.7095
12060, 17.4545
12080, 17.1353
12100, 16.7516
12120, 16.3673
12140, 15.918
12160, 15.4655
12180, 14.9146
12200, 14.5022
12220, 13.9535
12240, 13.4744
12260, 12.9964
12280, 12.4512
12300, 11.9074
12320, 11.4326
12340, 10.8235
12360, 10.216
12380, 9.543
12400, 9.0059
12420, 8.4032
12440, 7.8689
12460, 7.3357
12480, 6.8038
12500, 6.3394
12520, 5.9421
12540, 5.5455
12560, 5.2155
12580, 4.8201
12600, 4.557
12620, 4.2284
12640, 3.9003
12660, 3.7037
12680, 3.5073
12700, 3.3764
12720, 3.2456
12740, 3.2456
12760, 3.2456
12780, 3.2456
12800, 3.3764
12820, 3.4418
12840, 3.5073
12860, 3.5727
12880, 3.5727
12900, 3.5727
12920, 3.7037
12940, 3.8348
12960, 4.0315
12980, 4.2284
13000, 4.4912
13020, 4.7543
13040, 5.2155
13060, 5.6115
13080, 6.0745
13100, 6.6047
13120, 7.0031
13140, 7.4689
13160, 7.8689
13180, 8.3364
13200, 8.6709
13220, 9.073
13240, 9.6102
13260, 10.0813
13280, 10.5533
13300, 11.094
13320, 11.5681
13340, 12.0432
13360, 12.5193
13380, 12.9282
13400, 13.2694
13420, 13.6796
13440, 14.022
13460, 14.2963
13480, 14.6396
13500, 14.9834
13520, 15.2588
13540, 15.5965
13560, 15.9822
13580, 16.3673
13600, 16.7516
13620, 17.1353
13640, 17.4545
13660, 17.7732
13680, 18.0278
13700, 18.2822
13720, 18.4092
13740, 18.5997
13760, 18.7266
13780, 18.8534
13800, 18.9801
13820, 19.17
13840, 19.2966
13860, 19.423
13880, 19.4862
13900, 19.6126
13920, 19.6757
13940, 19.6126
13960, 19.6126
13980, 19.5494
14000, 19.4862
14020, 19.423
14040, 19.423
14060, 19.4862
14080, 19.5494
14100, 19.6126
14120, 19.6757
14140, 19.7389
14160, 19.802
14180, 19.9281
14200, 20.1803
14220, 20.495
14240, 20.872
14260, 21.2484
14280, 21.6242
14300, 21.8743
14320, 22.0617
14340, 22.1866
14360, 22.3113
14380, 22.3737
14400, 22.3737
14420, 22.436
14440, 22.4984
14460, 22.4984
14480, 22.4984
14500, 22.5607
14520, 22.5607
14540, 22.5607
14560, 22.5607
14580, 22.5607
14600, 22.4984
14620, 22.3737
14640, 22.1866
14660, 21.8743
14680, 21.499
14700, 20.9976
14720, 20.4321
14740, 19.8651
14760, 19.3598
14780, 18.79
14800, 18.155
14820, 17.6458
14840, 17.0714
14860, 16.5595
14880, 16.0465
14900, 15.4655
14920, 14.9834
14940, 14.4335
14960, 13.8165
14980, 13.2694
15000, 12.6555
15020, 12.0432
15040, 11.4326
15060, 10.8235
15080, 10.2835
15100, 9.812
15120, 9.4086
15140, 9.0059
15160, 8.604
15180, 8.1359
15200, 7.7355
15220, 7.3357
15240, 7.0696
15260, 6.8038
15280, 6.6047
15300, 6.472
15320, 6.4057
15340, 6.4057
15360, 6.4057
15380, 6.5383
15400, 6.6047
15420, 6.671
15440, 6.671
15460, 6.671
15480, 6.671
15500, 6.6047
15520, 6.6047
15540, 6.6047
15560, 6.6047
15580, 6.5383
15600, 6.5383
15620, 6.5383
15640, 6.472
15660, 6.5383
15680, 6.5383
15700, 6.5383
15720, 6.5383
15740, 6.6047
15760, 6.6047
15780, 6.671
15800, 6.7374
15820, 6.7374
15840, 6.8038
15860, 6.9367
15880, 7.1361
15900, 7.4689
15920, 7.9356
15940, 8.4032
15960, 8.9389
15980, 9.6102
16000, 10.2835
16020, 10.8911
16040, 11.5003
16060, 12.0432
16080, 12.6555
16100, 13.1329
16120, 13.6796
16140, 14.2277
16160, 14.777
16180, 15.3277
16200, 15.7252
16220, 16.0465
16240, 16.3673
16260, 16.5595
16280, 16.7516
16300, 16.7516
16320, 16.7516
16340, 16.6876
16360, 16.6236
16380, 16.6236
16400, 16.6236
16420, 16.6236
16440, 16.6876
16460, 16.6876
16480, 16.6876
16500, 16.6876
16520, 16.6876
16540, 16.6236
16560, 16.5595
16580, 16.4314
16600, 16.3031
16620, 16.1748
16640, 15.918
16660, 15.5965
16680, 15.0522
16700, 14.3649
16720, 13.6796
16740, 12.9282
16760, 12.3832
16780, 11.8395
16800, 11.3648
16820, 10.9587
16840, 10.4183
16860, 10.0139
16880, 9.6774
16900, 9.4086
16920, 9.1401
16940, 8.9389
16960, 8.8048
16980, 8.7379
17000, 8.7379
17020, 8.7379
17040, 8.8048
17060, 8.8048
17080, 8.8048
17100, 8.8048
17120, 8.8048
17140, 8.8048
17160, 8.8719
17180, 8.8719
17200, 8.8719
17220, 8.9389
17240, 8.9389
17260, 8.9389
17280, 9.0059
17300, 9.0059
17320, 9.073
17340, 9.1401
17360, 9.2072
17380, 9.3414
17400, 9.4086
17420, 9.4758
17440, 9.543
17460, 9.6774
17480, 10.0139
17500, 10.4858
17520, 11.094
17540, 11.7716
17560, 12.5874
17580, 13.4061
17600, 14.0905
17620, 14.777
17640, 15.3966
