time;truth;sensor;kalman
0;9,9414;10,8388;10,7656
20;9,9414;10,8559;10,8109
40;9,9414;10,8388;10,8208
60;9,9414;10,8388;10,826
80;9,9414;10,8388;10,8296
100;9,9414;10,4272;10,7507
120;9,9414;10,4443;10,6899
140;9,9414;10,4443;10,6376
160;9,9414;10,4272;10,588
180;9,9414;10,8388;10,6205
200;9,9414;10,8388;10,6527
220;9,9414;10,3757;10,5922
240;9,9414;10,3929;10,5404
260;9,9414;10,3929;10,494
280;9,9414;10,3929;10,4536
300;9,9414;10,3929;10,4192
320;9,9414;10,3757;10,387
340;9,9414;10,3929;10,3651
360;9,8743;10,3929;10,3488
380;9,9414;10,3929;10,3375
400;9,9414;10,3757;10,3265
420;9,9414;10,3757;10,3197
440;9,9414;10,3757;10,3166
460;9,9414;10,3929;10,3209
480;9,9414;10,3757;10,3227
500;9,8743;10,3757;10,3263
520;9,8743;10,3929;10,3358
540;9,8743;10,3757;10,3411
560;9,8743;10,3757;10,3471
580;9,8743;10,3757;10,3534
600;9,8743;10,3929;10,3642
620;9,9414;10,3929;10,3742
640;9,9414;10,3929;10,3833
660;9,9414;10,8559;10,5094
680;9,9414;10,3757;10,4955
700;9,8743;10,3929;10,4869
720;9,8743;10,3929;10,4785
740;9,9414;10,3757;10,4661
760;9,8743;10,3757;10,4545
780;9,9414;10,3757;10,4439
800;9,9414;10,3757;10,434
820;9,8743;10,3929;10,4293
840;9,8743;10,3929;10,4248
860;9,8743;10,3757;10,4162
880;9,8743;10,3929;10,4127
900;9,8743;10,3929;10,4095
920;9,9414;10,3757;10,4021
940;9,8743;10,3757;10,3956
960;9,9414;10,3757;10,3899
980;9,9414;10,3929;10,3893
1000;9,8743;10,3929;10,3888
1020;9,8743;10,3929;10,3884
1040;9,8743;10,3757;10,3838
1060;9,8743;10,3757;10,38
1080;9,9414;10,3929;10,3811
1100;9,8743;10,3929;10,3822
1120;9,9414;10,3757;10,3789
1140;9,9414;10,3929;10,3806
1160;9,8743;10,3929;10,3822
1180;9,8743;10,3929;10,3837
1200;9,8743;10,3757;10,3808
1220;9,8743;10,3929;10,3827
1240;9,9414;10,3757;10,3802
1260;9,8743;10,3757;10,3781
1280;9,9414;10,3929;10,3807
1300;9,9414;10,3929;10,3831
1320;9,8743;10,3757;10,3809
1340;9,8743;10,3929;10,3834
1360;9,8743;10,3757;10,3814
1380;9,8743;10,3929;10,384
1400;9,8743;10,3929;10,3862
1420;9,8743;10,3757;10,3839
1440;9,8743;10,3757;10,3819
1460;9,8743;10,3929;10,3846
1480;9,8743;10,3757;10,3825
1500;9,8743;10,3757;10,3808
1520;9,8743;10,3929;10,3837
1540;9,8743;10,3929;10,3862
1560;9,8743;10,3757;10,384
1580;9,8743;10,3929;10,3864
1600;9,8743;10,3929;10,3885
1620;9,8743;10,3929;10,3903
1640;9,8743;10,3929;10,3918
1660;9,8743;10,3929;10,393
1680;9,9414;10,3757;10,3897
1700;9,8743;10,3929;10,391
1720;9,8743;10,3929;10,3921
1740;9,8743;10,3757;10,3887
1760;9,9414;10,3929;10,39
1780;9,9414;10,3757;10,3868
1800;9,9414;10,3929;10,3883
1820;9,9414;10,8388;10,502
1840;9,9414;10,8388;10,5998
1860;9,9414;10,8388;10,6829
1880;9,9414;10,4272;10,6486
1900;9,9414;10,4443;10,6209
1920;10,0086;10,4443;10,5948
1940;10,0086;10,4443;10,5705
1960;10,0086;10,4272;10,5437
1980;10,0758;10,4272;10,5193
2000;10,143;10,4786;10,5104
2020;10,2774;10,9417;10,619
2040;10,2774;10,9931;10,7248
2060;10,3447;11,0446;10,8275
2080;10,412;10,6844;10,8227
2100;10,5466;10,753;10,8329
2120;10,6139;10,8388;10,8604
2140;10,7486;10,9417;10,9072
2160;10,8835;11,0446;10,9704
2180;11,0183;11,1475;11,0475
2200;11,1533;11,3018;11,1492
2220;11,4235;11,4562;11,2716
2240;11,6263;11,662;11,4239
2260;11,8971;11,9192;11,6142
2280;12,2359;12,5709;11,9355
2300;12,5753;12,8282;12,2686
2320;12,9152;12,6738;12,5056
2340;13,3237;12,9825;12,7741
2360;13,7329;13,7886;13,1936
2380;14,2796;13,7371;13,525
2400;14,7591;14,6118;14,011
2420;15,3083;14,6118;14,4075
2440;15,8588;15,1091;14,8489
2460;16,4537;15,9838;15,4218
2480;16,839;16,0352;15,8976
2500;17,3516;16,4468;16,3769
2520;17,7991;17,3043;16,9691
2540;18,182;17,2529;17,4268
2560;18,6278;17,6645;17,8823
2580;19,0727;18,059;18,3296
2600;19,4534;18,4362;18,764
2620;19,8333;19,2423;19,2938
2640;20,2126;19,1394;19,6755
2660;20,5281;19,894;20,1442
2680;20,8432;19,7568;20,4623
2700;21,095;20,4599;20,8619
2720;21,3464;20,2541;21,1029
2740;21,5976;20,9744;21,4407
2760;21,9111;20,7686;21,6298
2780;22,1616;21,0259;21,8081
2800;22,4743;21,6947;22,0828
2820;22,7242;21,4718;22,2177
2840;22,9737;21,6776;22,3415
2860;23,1607;21,8319;22,4452
2880;23,2852;21,9863;22,534
2900;23,4097;22,1406;22,6124
2920;23,5341;22,2435;22,6717
2940;23,5963;22,3464;22,7169
2960;23,6584;22,4493;22,7528
2980;23,7827;22,9638;22,8869
3000;23,7827;22,6037;22,8877
3020;23,8448;22,638;22,8746
3040;23,9069;23,101;22,9604
3060;23,9069;22,7066;22,9176
3080;23,969;23,1525;22,9775
3100;23,969;23,1696;23,0202
3120;23,969;23,1525;23,0409
3140;23,9069;23,1525;23,0484
3160;23,8448;23,1182;23,0374
3180;23,7206;22,6037;22,8909
3200;23,6584;22,9467;22,8455
3220;23,4719;22,3979;22,6648
3240;23,2852;22,2435;22,4688
3260;23,036;22,0377;22,2491
3280;22,7242;21,7805;21,9988
3300;22,3493;21,4718;21,7117
3320;21,9111;21,5918;21,5038
3340;21,472;21,1802;21,2329
3360;20,9691;20,7686;20,9098
3380;20,5281;20,357;20,5441
3400;20,0862;19,4995;20,032
3420;19,5801;19,4995;19,6132
3440;19,0727;19,0879;19,1746
3460;18,6278;18,2133;18,6054
3480;18,2458;17,8703;18,0606
3500;17,863;17,5101;17,5364
3520;17,4796;17,15;17,0334
3540;17,1595;17,2529;16,6682
3560;16,7748;16,4983;16,208
3580;16,3895;16,1896;15,7795
3600;16,0655;16,2754;15,4796
3620;15,5834;15,9838;15,1963
3640;15,3083;15,6751;14,923
3660;14,8963;15,3835;14,6621
3680;14,5535;15,0577;14,4028
3700;14,2112;14,7661;14,1527
3720;13,8694;14,0458;13,8015
3740;13,5282;13,7371;13,4662
3760;13,1874;13,8915;13,2611
3780;12,8471;13,1883;12,9516
3800;12,5074;13,3255;12,7626
3820;12,1681;12,6224;12,4648
3840;11,8294;12,7767;12,288
3860;11,4911;12,4852;12,1023
3880;11,0858;11,7134;11,786
3900;10,6813;11,4047;11,4727
3920;10,3447;11,5076;11,2653
3940;10,0086;10,7359;10,9282
3960;9,6059;10,4443;10,5993
3980;9,204;10,0842;10,2602
4000;8,8695;9,7755;9,9252
4020;8,4689;9,4668;9,5938
4040;8,2021;9,3296;9,3088
4060;7,9357;9,0209;9,0205
4080;7,6696;8,7636;8,742
4100;7,4038;8,5064;8,4717
4120;7,1383;8,3006;8,221
4140;6,9394;8,0433;7,9737
4160;6,6745;7,8547;7,7462
4180;6,476;7,6489;7,5308
4200;6,2115;7,4431;7,3251
4220;6,0134;7,2887;7,1399
4240;5,8155;7,083;6,9586
4260;5,6177;6,8772;6,7797
4280;5,4201;6,7228;6,6148
4300;5,2227;6,6199;6,474
4320;5,157;6,517;6,353
4340;5,0912;6,4141;6,2479
4360;5,0255;6,3798;6,1724
4380;5,0912;6,3626;6,1255
4400;5,157;6,3798;6,1102
4420;5,2227;6,4141;6,1248
4440;5,2227;6,4656;6,1675
4460;5,2885;6,4656;6,2193
4480;5,2885;6,517;6,2898
4500;5,2885;6,517;6,3612
4520;5,2885;6,517;6,4312
4540;5,3543;6,517;6,4978
4560;5,3543;6,517;6,5597
4580;5,4201;6,5342;6,62
4600;5,486;6,1226;6,5694
4620;5,5519;6,6199;6,651
4640;5,6836;6,7228;6,7466
4660;5,8155;6,8772;6,8659
4680;6,0134;7,0315;7,0041
4700;6,2776;7,1858;7,1572
4720;6,5421;7,3916;7,3344
4740;6,7407;7,6489;7,5438
4760;7,0057;7,8375;7,762
4780;7,3374;8,1462;8,0162
4800;7,6031;8,4035;8,2866
4820;7,9357;8,6607;8,5689
4840;8,2688;8,9694;8,8725
4860;8,6023;9,2781;9,1925
4880;9,0032;9,4668;9,4942
4900;9,4048;9,7755;9,8086
4920;9,8072;10,5987;10,2618
4940;10,2774;10,9417;10,7117
4960;10,7486;10,9417;11,0695
4980;11,3559;11,7477;11,5487
5000;11,7617;12,1593;12,0313
5020;12,1681;12,125;12,4018
